filename, language, Java, JSON, comment, blank, total
c:\Users\david\Documents\Ongoing\Team Maker\Estado.java, Java, 10, 0, 0, 4, 14
c:\Users\david\Documents\Ongoing\Team Maker\Firefighter.java, Java, 87, 0, 1, 19, 107
c:\Users\david\Documents\Ongoing\Team Maker\Graduacao.java, Java, 11, 0, 0, 3, 14
c:\Users\david\Documents\Ongoing\Team Maker\Months.java, Java, 23, 0, 0, 6, 29
c:\Users\david\Documents\Ongoing\Team Maker\Profile.java, Java, 103, 0, 4, 12, 119
c:\Users\david\Documents\Ongoing\Team Maker\Quadro.java, Java, 10, 0, 0, 5, 15
c:\Users\david\Documents\Ongoing\Team Maker\Team.java, Java, 35, 0, 0, 9, 44
c:\Users\david\Documents\Ongoing\Team Maker\TeamMaker.java, Java, 257, 0, 39, 32, 328
c:\Users\david\Documents\Ongoing\Team Maker\example.json, JSON, 0, 34, 0, 1, 35
Total, -, 536, 34, 44, 91, 705